UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
BA,ABAIRA,UNIDADE DE SAUDE DA FAMILIA SEDE II,AVENIDA CARLITO COSTA,S/N,CENTRO,"AVENIDA CARLITO COSTA, CENTRO, ABAIRA, BA, BRASIL",-13.251120000000002,-41.66006,"Avenida Carlito Moreira, 46690-000, Abaíra","13 15m 4.032s S, 41 39m 36.216s W"
BA,ABAIRA,UNIDADE DE SAUDE DA FAMILIA DE OURO VERDE,PCA ANTONIO CARLOS MAGALHAES,18,POV OURO VERDE,"PCA ANTONIO CARLOS MAGALHAES, POV OURO VERDE, ABAIRA, BA, BRASIL",-16.575879999999998,-39.56226,"Praça Antônio Carlos Magalhães, Itabela","16 34m 33.168s S, 39 33m 44.136s W"
BA,ABAIRA,CENTRO DE SAUDE DE ABAIRA,PCA JOAO HIPOLITO RODRIGUES,15,MOREIRA,"PCA JOAO HIPOLITO RODRIGUES, MOREIRA, ABAIRA, BA, BRASIL",-13.25143,-41.66515,"Praça João Hipólito Rodrigues, 46690-000, Abaíra","13 15m 5.148s S, 41 39m 54.54s W"
BA,ABAIRA,UNIDADE DE SAUDE DA FAMILIA DE ABAIRA,PRACA JOAO HIPOLITO RODRIGUES,S/N,CENTRO,"PRACA JOAO HIPOLITO RODRIGUES, CENTRO, ABAIRA, BA, BRASIL",-13.25143,-41.66515,"Praça João Hipólito Rodrigues, 46690-000, Abaíra","13 15m 5.148s S, 41 39m 54.54s W"
BA,ABAIRA,UNIDADE DE SAUDE DA FAMILIA DE CATOLES,RUA DO COLEGIO,S/N,DISTRITO DE CATOLES,"RUA DO COLEGIO, DISTRITO DE CATOLES, ABAIRA, BA, BRASIL",-13.25149,-41.66766,"Rua do Colégio, 46690-000, Abaíra","13 15m 5.364s S, 41 40m 3.576s W"
BA,ABARE,UNIDADE DE SAUDE DA FAMILIA SAO FRANCISCO,AGROVILA 16,100,PROJETO PEDRA BRANCA,"AGROVILA 16, PROJETO PEDRA BRANCA, ABARE, BA, BRASIL",-12.90636,-38.4315,"Acesso 2 Projeto Pesquisa Etpiii, 16, 41321, Salvador","12 54m 22.896s S, 38 25m 53.4s W"
BA,ABARE,UNIDADE DE SAUDE INDIGENA TUMBALALA,ALDEIA NOSSA SENHORA DA CONCEICAO DO PAMPU,100,ZONA RURAL,"ALDEIA NOSSA SENHORA DA CONCEICAO DO PAMPU, ZONA RURAL, ABARE, BA, BRASIL",-11.56363,-39.28493,"Rua Nossa Senhora da Conceição, 48730-000, Conceição do Coité","11 33m 49.068s S, 39 17m 5.748s W"
BA,ABARE,UNIDADE DE SAUDE DA FAMILIA IRMA DULCE,DISTRITO DE IBO,100,ZONA RURAL,"DISTRITO DE IBO, ZONA RURAL, ABARE, BA, BRASIL",-12.41631,-41.78971,"Estrada Vicinal Para Tenda Zona Rural, Seabra","12 24m 58.716s S, 41 47m 22.956s W"
BA,ABARE,UNIDADE DE SAUDE DA FAMILIA UMBUZEIRO,POVOADO UMBUZEIRO,100,ZONA RURAL,"POVOADO UMBUZEIRO, ZONA RURAL, ABARE, BA, BRASIL",-12.41631,-41.78971,"Estrada Vicinal Para Tenda Zona Rural, Seabra","12 24m 58.716s S, 41 47m 22.956s W"
BA,ABARE,UNIDADE DE SAUDE DA FAMILIA NOSSA SENHORA APARECIDA,RUA DO ALTO,12,NOSSA SRA APARECIDA,"RUA DO ALTO, NOSSA SRA APARECIDA, ABARE, BA, BRASIL",-29.10029,-53.21447,"Rua Nossa Senhora Aparecida, 99440-000, Salto do Jacuí","29 6m 1.044s S, 53 12m 52.092s W"
BA,ABARE,UNIDADE DE SAUDE DA FAMILIA JOSINO SOARES DA SILVA,POV ICOZEIRA,100,ZONA RURAL,"POV ICOZEIRA, ZONA RURAL, ABARE, BA, BRASIL",-12.41631,-41.78971,"Estrada Vicinal Para Tenda Zona Rural, Seabra","12 24m 58.716s S, 41 47m 22.956s W"
BA,ABARE,UNIDADE DE SAUDE DA FAMILIA SANTO ANTONIO,RUA JOSINA NEUMA PEREIRA DE CERQUEIRA,S/N,CENTRO,"RUA JOSINA NEUMA PEREIRA DE CERQUEIRA, CENTRO, ABARE, BA, BRASIL",-8.72777,-39.11304000000001,"Rua Josina Neuma Pereira de Cerqueira, 48680-000, Abaré","8 43m 39.972s S, 39 6m 46.944s W"
BA,ABARE,UNIDADE DE SAUDE DA FAMILIA SAO JOSE,RUA DA PAZ,0,DISTRITO DE IBO,"RUA DA PAZ, DISTRITO DE IBO, ABARE, BA, BRASIL",-8.63415,-39.25189,"Travessa Rua da Paz D1, 48680, 48685, Abaré","8 38m 2.94s S, 39 15m 6.804s W"
BA,ACAJUTIBA,UNIDADE DE SAUDE DA FAMILIA DO CRUZEIRO,RUA SEVERINO VIEIRA,S/N,CENTRO,"RUA SEVERINO VIEIRA, CENTRO, ACAJUTIBA, BA, BRASIL",-11.66864,-38.02248,"Rua Severino Vieira, 48360-000, Acajutiba","11 40m 7.104s S, 38 1m 20.928s W"
BA,ACAJUTIBA,UNIDADE DE SAUDE DA FAMILIA DA RODAGEM,RUA SATURNINO DE MENEZES,S/N,CENTRO,"RUA SATURNINO DE MENEZES, CENTRO, ACAJUTIBA, BA, BRASIL",-11.66088,-38.01897,"Rua Saturnino de Menezes, 48360, Acajutiba","11 39m 39.168s S, 38 1m 8.292s W"
