UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
SC,ABDON BATISTA,UNIDADE SANITARIA DE ABDON BATISTA,RUA JOAO SANTIN,30,CENTRO,"RUA JOAO SANTIN, CENTRO, ABDON BATISTA, SC, BRASIL",,,,
SC,ABELARDO LUZ,UNIDADE DE SAUDE IRMA AUGUSTA,ASSENTAMENTO JOSE MARIA,S/N,JOSE MARIA,"ASSENTAMENTO JOSE MARIA, JOSE MARIA, ABELARDO LUZ, SC, BRASIL",,,,
SC,ABELARDO LUZ,CENTRO MUNICIPAL ANGELA NARDINO BERTONCELLO,AGRIPINO VARGAS,303,PARQUE DE EXPOSICAO,"AGRIPINO VARGAS, PARQUE DE EXPOSICAO, ABELARDO LUZ, SC, BRASIL",,,,
SC,ABELARDO LUZ,UNIDADE DE SAUDE ARCY ROMANO,RUA SAO ROQUE,1520,APARECIDA,"RUA SAO ROQUE, APARECIDA, ABELARDO LUZ, SC, BRASIL",,,,
SC,ABELARDO LUZ,UNIDADE DE SAUDE MAURILIA BENITES,ARACA,S/N,ARACA,"ARACA, ARACA, ABELARDO LUZ, SC, BRASIL",-26.649621600000003,-52.2567338,"Igreja do Araça, Rodovia dos Cavalheiros, Linha Santo Antônio, Abelardo Luz, Região Geográfica Imediata de Xanxerê, Região Geográfica Intermediária de Chapecó, Santa Catarina, Região Sul, 89830-000, Brasil","26 38m 58.6378s S, 52 15m 24.2417s W"
SC,ABELARDO LUZ,UNIDADE DE SAUDE MARLENE AGHETA PICCININ,RUA EZIDIO JOAO GUERRA,610,ALVORADA,"RUA EZIDIO JOAO GUERRA, ALVORADA, ABELARDO LUZ, SC, BRASIL",,,,
SC,ABELARDO LUZ,UNIDADE DE SAUDE AMANTINO SOARES BORGES,25 DE MAIO,S/N,ASSENTAMENTO 25 DE M,"25 DE MAIO, ASSENTAMENTO 25 DE M, ABELARDO LUZ, SC, BRASIL",,,,
SC,AGROLANDIA,POSTO DE SAUDE SERRA DOS ALVES,SERRA DOS ALVES,S/N,SERRA DOS ALVES,"SERRA DOS ALVES, SERRA DOS ALVES, AGROLANDIA, SC, BRASIL",,,,
SC,AGROLANDIA,UNIDADE DE ESTRATEGIA SAUDE DA FAMILIA TRES BARRAS,SIEGFRIED BAUER,S/N,TRES BARRAS,"SIEGFRIED BAUER, TRES BARRAS, AGROLANDIA, SC, BRASIL",,,,
SC,AGROLANDIA,UNIDADE SANITARIA DE AGROLANDIA,RUA NEREU RAMOS,107,CENTRO,"RUA NEREU RAMOS, CENTRO, AGROLANDIA, SC, BRASIL",,,,
SC,AGROLANDIA,NASF 02 AGROLANDIA,RUA NEREU RAMOS,107,CENTRO,"RUA NEREU RAMOS, CENTRO, AGROLANDIA, SC, BRASIL",,,,
SC,AGROLANDIA,UNIDADE DE ESTRATEGIA SAUDE DA FAMILIA SAO JOAO,JOAO WILL,40,SAO JOAO,"JOAO WILL, SAO JOAO, AGROLANDIA, SC, BRASIL",,,,
SC,AGRONOMICA,UNIDADE SANITARIA RONALDO JAHN,RUA XV DE NOVEMBRO,405,CENTRO,"RUA XV DE NOVEMBRO, CENTRO, AGRONOMICA, SC, BRASIL",-27.261401799999998,-49.7051492,"Rua XV de Novembro, Centro, Barra do Trombudo, Agronômica, Região Geográfica Imediata de Rio do Sul, Região Geográfica Intermediária de Blumenau, Santa Catarina, Região Sul, 89164-424, Brasil","27 15m 41.0465s S, 49 42m 18.5371s W"
SC,AGUA DOCE,UNIDADE SANITARIA DE AGUA DOCE,RUA FREI DARIO,109,CENTRO,"RUA FREI DARIO, CENTRO, AGUA DOCE, SC, BRASIL",,,,
SC,AGUA DOCE,ESF TRES PINHEIROS,RUA FREI DARIO,109,CENTRO,"RUA FREI DARIO, CENTRO, AGUA DOCE, SC, BRASIL",,,,
SC,AGUAS DE CHAPECO,UNIDADE BASICA DE SAUDE 2,AVENIDA JOINVILLE,121,CENTRO,"AVENIDA JOINVILLE, CENTRO, AGUAS DE CHAPECO, SC, BRASIL",,,,
SC,AGUAS DE CHAPECO,UNIDADE DE LINHA MAIDANA,RUA PRINCIPAL,S/N,INTERIOR,"RUA PRINCIPAL, INTERIOR, AGUAS DE CHAPECO, SC, BRASIL",,,,
SC,AGUAS DE CHAPECO,UNIDADE BASICA DE SAUDE DE AGUAS DE CHAPECO,AV JOINVILLE,447,CENTRO,"AV JOINVILLE, CENTRO, AGUAS DE CHAPECO, SC, BRASIL",,,,
SC,AGUAS FRIAS,UNIDADE SANITARIA DE AGUAS FRIAS,RUA MARIA GOTARDO GALON,349,CENTRO,"RUA MARIA GOTARDO GALON, CENTRO, AGUAS FRIAS, SC, BRASIL",,,,
SC,AGUAS MORNAS,CENTRO DE SAUDE SANTA CRUZ DA FIGUEIRA,RUA ADELIR KIRCHNER,1,SANTA CRUZ DA FIGUEI,"RUA ADELIR KIRCHNER, SANTA CRUZ DA FIGUEI, AGUAS MORNAS, SC, BRASIL",,,,
SC,AGUAS MORNAS,UNIDADE DE SAUDE CENTRO,RUA JOAO PEREIRA DAVILA,91,CENTRO,"RUA JOAO PEREIRA DAVILA, CENTRO, AGUAS MORNAS, SC, BRASIL",,,,
