UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
RJ,ANGRA DOS REIS,POSTO DE SAUDE DE MONSUABA,RUA SANTINHO MARQUES,186,MONSUABA,"RUA SANTINHO MARQUES, MONSUABA, ANGRA DOS REIS, RJ, BRASIL",,,,
RJ,ANGRA DOS REIS,POSTO DE SAUDE DO BALNEARIO,RUA COMANDANTE SILVIO TRILHO,S/N,BALNEARIO,"RUA COMANDANTE SILVIO TRILHO, BALNEARIO, ANGRA DOS REIS, RJ, BRASIL",,,,
RJ,ANGRA DOS REIS,ESTRATEGIA DE SAUDE DA FAMILIA DO BONFIM CONTORNO,ESTRADA VEREADOR BENEDITO ADELINO,1,BONFIM,"ESTRADA VEREADOR BENEDITO ADELINO, BONFIM, ANGRA DOS REIS, RJ, BRASIL",,,,
RJ,ANGRA DOS REIS,POSTO DE SAUDE DO AREAL,RUA LAVRADOR JOAO ALVES FILHO,S/N,AREAL,"RUA LAVRADOR JOAO ALVES FILHO, AREAL, ANGRA DOS REIS, RJ, BRASIL",,,,
RJ,ANGRA DOS REIS,POSTO DE SAUDE DO BRACUHY,ESTRADA RIO SANTOS KM 115,S/N,BRACUHY,"ESTRADA RIO SANTOS KM 115, BRACUHY, ANGRA DOS REIS, RJ, BRASIL",,,,
RJ,ANGRA DOS REIS,CENTRO COMUNITARIO DE SAUDE BELEM,AVENIDA SAO JOAQUIM,345,BELEM,"AVENIDA SAO JOAQUIM, BELEM, ANGRA DOS REIS, RJ, BRASIL",,,,
RJ,ANGRA DOS REIS,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 3,RUA DOLOR BARRETO,21,PEREQUE,"RUA DOLOR BARRETO, PEREQUE, ANGRA DOS REIS, RJ, BRASIL",,,,
RJ,ANGRA DOS REIS,ESTRATEGIA DE SAUDE DA FAMILIA PEQUENAS PRAIAS,ILHA GRANDE,1,ILHA GRANDE,"ILHA GRANDE, ILHA GRANDE, ANGRA DOS REIS, RJ, BRASIL",-23.144369,-44.16799255931864,"Ilha Grande Hiking, 44, Rua das Flores, Abraão, Angra dos Reis, Região Geográfica Imediata de Angra dos Reis, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 23968-000, Brasil","23 8m 39.7284s S, 44 10m 4.77321s W"
RJ,ANGRA DOS REIS,ESTRATEGIA DE SAUDE DA FAMILIA CANTAGALO,RUA DO CANTAGALO,1,CANTAGALO,"RUA DO CANTAGALO, CANTAGALO, ANGRA DOS REIS, RJ, BRASIL",-23.034571399999997,-44.1750607,"Rua M, Vila dos Pescadores, Angra dos Reis, Região Geográfica Imediata de Angra dos Reis, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","23 2m 4.45704s S, 44 10m 30.2185s W"
RJ,ANGRA DOS REIS,CENTRO DE SAUDE DO FRADE,RUA BOA ESPERANCA,S/N,FRADE,"RUA BOA ESPERANCA, FRADE, ANGRA DOS REIS, RJ, BRASIL",-22.9625116,-44.442938700000006,"Rua Boa Esperança, Vila Frade de Cima, Cunhambebe, Angra dos Reis, Região Geográfica Imediata de Angra dos Reis, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","22 57m 45.0418s S, 44 26m 34.5793s W"
